code,naam,niveau,indicator,jaar,waarde
71016A300,WINTERSLAG - TUINWIJK I,sector,screening,2021,0.533
71016A300,WINTERSLAG - TUINWIJK I,sector,screening,2022,0.533
71016A300,WINTERSLAG - TUINWIJK I,sector,screening,2023,0.549
71016A300,WINTERSLAG - TUINWIJK I,sector,screening,2024,0.557
71016A31K,OUD-WINTERSLAG C-MINE,sector,screening,2020,0.568
71016A31K,OUD-WINTERSLAG C-MINE,sector,screening,2021,0.575
71016A31K,OUD-WINTERSLAG C-MINE,sector,screening,2022,0.555
71016A31K,OUD-WINTERSLAG C-MINE,sector,screening,2023,0.593
71016A31K,OUD-WINTERSLAG C-MINE,sector,screening,2024,0.588
71016A41K,HASSELTWEG KNEIPPWIEK,sector,screening,2020,0.604
71016A41K,HASSELTWEG KNEIPPWIEK,sector,screening,2021,0.592
71016A41K,HASSELTWEG KNEIPPWIEK,sector,screening,2022,0.588
71016A41K,HASSELTWEG KNEIPPWIEK,sector,screening,2023,0.623
71016A41K,HASSELTWEG KNEIPPWIEK,sector,screening,2024,0.629
71016A42-,WINTERSLAG - TUINWIJK II & IV,sector,screening,2020,0.474
71016A42-,WINTERSLAG - TUINWIJK II & IV,sector,screening,2021,0.49
71016A42-,WINTERSLAG - TUINWIJK II & IV,sector,screening,2022,0.416
71016A42-,WINTERSLAG - TUINWIJK II & IV,sector,screening,2023,0.451
71016A42-,WINTERSLAG - TUINWIJK II & IV,sector,screening,2024,0.448
71016A432,SCHEMMERSBERG,sector,screening,2020,0.558
71016A432,SCHEMMERSBERG,sector,screening,2021,0.586
71016A432,SCHEMMERSBERG,sector,screening,2022,0.593
71016A432,SCHEMMERSBERG,sector,screening,2023,0.62
71016A432,SCHEMMERSBERG,sector,screening,2024,0.613
71016A490,BOKRIJK-NOORD,sector,screening,2020,0.598
71016A490,BOKRIJK-NOORD,sector,screening,2021,0.569
71016A490,BOKRIJK-NOORD,sector,screening,2022,0.542
71016A490,BOKRIJK-NOORD,sector,screening,2023,0.591
71016A490,BOKRIJK-NOORD,sector,screening,2024,0.566
71016A4AB,WENNEL,sector,screening,2020,0.496
71016A4AB,WENNEL,sector,screening,2021,0.487
71016A4AB,WENNEL,sector,screening,2022,0.528
71016A4AB,WENNEL,sector,screening,2023,0.535
71016A4AB,WENNEL,sector,screening,2024,0.524
71016A4OK,BOXBERG,sector,screening,2020,0.554
71016A4OK,BOXBERG,sector,screening,2021,0.57
71016A4OK,BOXBERG,sector,screening,2022,0.599
71016A4OK,BOXBERG,sector,screening,2023,0.594
71016A4OK,BOXBERG,sector,screening,2024,0.609
71016A50K,TERMIEN,sector,screening,2020,0.595
71016A50K,TERMIEN,sector,screening,2021,0.593
71016A50K,TERMIEN,sector,screening,2022,0.609
71016A50K,TERMIEN,sector,screening,2023,0.6
71016A50K,TERMIEN,sector,screening,2024,0.606
71016A51-,TERMIEN - TUINWIJK,sector,screening,2020,0.445
71016A51-,TERMIEN - TUINWIJK,sector,screening,2021,0.443
71016A51-,TERMIEN - TUINWIJK,sector,screening,2022,0.453
71016A51-,TERMIEN - TUINWIJK,sector,screening,2023,0.467
71016A51-,TERMIEN - TUINWIJK,sector,screening,2024,0.501
71016A512,TERMIEN - KLOOSTER,sector,screening,2020,0.464
71016A512,TERMIEN - KLOOSTER,sector,screening,2021,0.474
71016A512,TERMIEN - KLOOSTER,sector,screening,2022,0.552
71016A512,TERMIEN - KLOOSTER,sector,screening,2023,0.605
71016A512,TERMIEN - KLOOSTER,sector,screening,2024,0.625
71016A579,INDUSTRIE-ZUID,sector,screening,2020,0.438
71016A579,INDUSTRIE-ZUID,sector,screening,2021,0.529
71016A579,INDUSTRIE-ZUID,sector,screening,2022,0.5
71016A579,INDUSTRIE-ZUID,sector,screening,2023,0.625
71016A579,INDUSTRIE-ZUID,sector,screening,2024,0.478
71016A59K,DE MATEN-NATUUR,sector,screening,2020,0.55
71016A59K,DE MATEN-NATUUR,sector,screening,2021,0.625
71016A59K,DE MATEN-NATUUR,sector,screening,2022,0.61
71016A59K,DE MATEN-NATUUR,sector,screening,2023,0.622
71016A59K,DE MATEN-NATUUR,sector,screening,2024,0.553
71016A600,BOKRIJK-ZUID,sector,screening,2020,0.568
71016A600,BOKRIJK-ZUID,sector,screening,2021,0.632
71016A600,BOKRIJK-ZUID,sector,screening,2022,0.668
71016A600,BOKRIJK-ZUID,sector,screening,2023,0.657
71016A600,BOKRIJK-ZUID,sector,screening,2024,0.643
71016A70K,SLEDDERLO OUD,sector,screening,2020,0.536
71016A70K,SLEDDERLO OUD,sector,screening,2021,0.591
71016A70K,SLEDDERLO OUD,sector,screening,2022,0.574
71016A70K,SLEDDERLO OUD,sector,screening,2023,0.623
71016A70K,SLEDDERLO OUD,sector,screening,2024,0.624
71016A71-,TERBOEKT,sector,screening,2020,0.62
71016A71-,TERBOEKT,sector,screening,2021,0.588
71016A71-,TERBOEKT,sector,screening,2022,0.496
71016A71-,TERBOEKT,sector,screening,2023,0.6
